level	pdf_page	section
5	446	B3-4.3-05, Gifts of Equity (10/07/2020)
5	447	B3-4.3-06, Grants and Lender Contributions (05/07/2025)
5	450	B3-4.3-07, Disaster Relief Grants or Loans (04/01/2009)
5	451	B3-4.3-08, Employer Assistance (09/29/2015)
5	453	B3-4.3-09, Earnest Money Deposit (05/04/2022)
5	454	B3-4.3-10, Anticipated Sales Proceeds (02/23/2016)
5	455	B3-4.3-11, Trade Equity (12/16/2020)
5	457	B3-4.3-12, Rent-Related Credits (08/07/2024)
5	458	B3-4.3-13, Sweat Equity (04/15/2014)
5	459	B3-4.3-14, Bridge/Swing Loans (04/01/2009)
5	459	B3-4.3-15, Borrowed Funds Secured by an Asset (10/30/2009)
5	460	B3-4.3-16, Credit Card Financing and Reward Points (08/04/2021)
5	462	B3-4.3-17, Personal Unsecured Loans (09/20/2010)
5	462	B3-4.3-18, Sale of Personal Assets (12/16/2020)
5	463	B3-4.3-19, Cash Value of Life Insurance (05/27/2014)
5	464	B3-4.3-20, Anticipated Savings and Cash-on-Hand (04/01/2009)
5	465	B3-4.3-21, Borrower's Earned Real Estate Commission (04/05/2023)
4	466	Section B3-4.4, DU Requirements for Asset Assessment
5	466	B3-4.4-01, DU Asset Verification (12/16/2020)
5	468	B3-4.4-02, Requirements for Certain Assets in DU (06/01/2022)
3	471	Chapter B3-5, Credit Assessment
4	471	Section B3-5.1, Credit Scores
5	471	B3-5.1-01, General Requirements for Credit Scores (04/22/2026)
5	475	B3-5.1-02, Determining the Credit Score for a Mortgage Loan (04/22/2026)
4	477	Section B3-5.2, Credit Reports
5	477	B3-5.2-01, Requirements for Credit Reports (11/05/2025)
5	481	B3-5.2-02, Types of Credit Reports (11/05/2025)
5	483	B3-5.2-03, Accuracy of Credit Information in a Credit Report (07/25/2017)
4	484	Section B3-5.3, Traditional Credit History
5	484	B3-5.3-01, Number and Age of Accounts (04/01/2009)
5	485	B3-5.3-02, Payment History (04/01/2009)
5	485	B3-5.3-03, Previous Mortgage Payment History (07/25/2017)
5	487	B3-5.3-04, Inquiries: Recent Attempts to Obtain New Credit (04/01/2009)
5	488	B3-5.3-05, Credit Utilization (05/31/2016)
5	488	B3-5.3-06, Authorized Users of Credit (10/30/2009)
5	489	B3-5.3-07, Significant Derogatory Credit Events — Waiting Periods and Re-establishing Credit (08/07/2019)
5	495	B3-5.3-08, Extenuating Circumstances for Derogatory Credit (12/16/2014)
5	496	B3-5.3-09, DU Credit Report Analysis (08/05/2026)
4	504	Section B3-5.4, Nontraditional Credit History
5	505	B3-5.4-01, Eligibility Requirements for Loans with Nontraditional Credit (11/05/2025)
5	507	B3-5.4-02, Number and Types of Nontraditional Credit References (02/04/2026)
5	510	B3-5.4-03, Documentation and Assessment of a Nontraditional Credit History (02/07/2024)
3	513	Chapter B3-6, Liability Assessment
4	513	B3-6-01, General Information on Liabilities (05/04/2022)
4	515	B3-6-02, Debt-to-Income Ratios (04/02/2025)
4	519	B3-6-03, Monthly Housing Expense for the Subject Property (12/16/2020)
4	521	B3-6-04, Qualifying Payment Requirements (02/07/2024)
4	523	B3-6-05, Monthly Debt Obligations (08/05/2026)
4	530	B3-6-06, Qualifying Impact of Other Real Estate Owned (06/30/2015)
4	531	B3-6-07, Debts Paid Off At or Prior to Closing (04/05/2023)
4	533	B3-6-08, DU: Requirements for Liability Assessment (01/27/2015)
2	534	Subpart B4, Underwriting Property
3	535	Chapter B4-1, Property Assessment and Valuation
4	535	Section B4-1.1, General Appraisal Requirements
5	535	B4-1.1-01, Definition of Market Value (06/04/2025)
5	536	B4-1.1-02, Lender Responsibilities (06/04/2025)
5	539	B4-1.1-03, Appraiser Selection Criteria (06/04/2025)
5	542	B4-1.1-04, Unacceptable Appraisal Practices (06/04/2025)
5	544	B4-1.1-05, Disclosure of Information to Appraisers (06/04/2025)
5	546	B4-1.1-06, Uniform Appraisal Dataset (UAD) and the Uniform Collateral Data Portal (UCDP) (06/04/2025)
4	548	Section B4-1.2, Documentation Standards
5	548	B4-1.2-01, Appraisal Report Forms and Exhibits (09/03/2025)
5	554	B4-1.2-02, Desktop Appraisals (12/10/2025)
5	557	B4-1.2-03, Hybrid Appraisals (12/10/2025)
5	560	B4-1.2-04, Appraisal Age and Use Requirements (06/04/2025)
5	562	B4-1.2-05, Requirements for Verifying Completion and Postponed Improvements (12/10/2025)
4	569	Section B4-1.3, Appraisal Report Assessment
5	570	B4-1.3-01, Review of the Appraisal Report (06/04/2025)
5	571	B4-1.3-02, Subject and Contract Sections of the Appraisal Report (06/04/2025)
5	573	B4-1.3-03, Neighborhood Section of the Appraisal Report (06/04/2025)
5	578	B4-1.3-04, Site Section of the Appraisal Report (06/04/2025)
5	581	B4-1.3-05, Improvements Section of the Appraisal Report (06/04/2025)
5	588	B4-1.3-06, Property Condition and Quality of Construction of the Improvements (06/04/2025)
5	596	B4-1.3-07, Sales Comparison Approach Section of the Appraisal Report (06/04/2025)
5	598	B4-1.3-08, Comparable Sales (06/04/2025)
5	602	B4-1.3-09, Adjustments to Comparable Sales (06/04/2025)
5	605	B4-1.3-10, Cost and Income Approach to Value (06/04/2025)
5	607	B4-1.3-11, Valuation Analysis and Reconciliation (06/04/2025)
5	608	B4-1.3-12, Appraisal Quality Matters (09/03/2025)
4	612	Section B4-1.4, Special Appraisal and Other Valuation Considerations
5	612	B4-1.4-01, Factory-Built Housing: Manufactured Housing (02/04/2026)
5	617	B4-1.4-02, Factory-Built Housing: Modular, Prefabricated, Panelized, or Sectional Housing (10/06/2021)
5	619	B4-1.4-03, Condo Appraisal Requirements (04/15/2014)
5	619	B4-1.4-04, Co-op Appraisal Requirements (04/15/2014)
5	622	B4-1.4-05, Leasehold Interests Appraisal Requirements (06/04/2025)
5	624	B4-1.4-06, Community Land Trust Appraisal Requirements (06/04/2025)
5	627	B4-1.4-07, Mixed-Use Property Appraisal Requirements (06/04/2025)
5	628	B4-1.4-08, Environmental Hazards Appraisal Requirements (06/04/2025)
5	630	B4-1.4-09, Special Assessment or Community Facilities Districts Appraisal Requirements (06/04/2025)
5	632	B4-1.4-10, Value Acceptance (06/03/2026)
5	635	B4-1.4-11, Value Acceptance + Property Data (12/10/2025)
3	639	Chapter B4-2, Project Standards
4	639	Section B4-2.1, General Project Standards
5	639	B4-2.1-01, General Information on Project Standards (08/05/2026)
5	650	B4-2.1-02, Waiver of Project Review (08/05/2026)
5	652	B4-2.1-03, Ineligible Projects (08/05/2026)
5	666	B4-2.1-04, Environmental Hazard Assessments (06/03/2020)
5	669	B4-2.1-05, Unacceptable Environmental Hazards (06/03/2020)
5	672	B4-2.1-06, Remedial Actions for Environmental Hazard Assessments Below Standards (06/03/2020)
4	674	Section B4-2.2, Project Eligibility
5	674	B4-2.2-01, Full Review Process (08/05/2026)
5	683	B4-2.2-02, Full Review: Additional Eligibility Requirements for Units in New and Newly Converted Condo Projects (08/05/2026)
5	687	B4-2.2-03, FHA-Approved Condo Review Eligibility (09/04/2018)
5	689	B4-2.2-04, Project Eligibility Review Service (PERS) (08/05/2026)
5	698	B4-2.2-05, Projects with Special Considerations (08/06/2025)
4	698	Section B4-2.3, PUD and Co-op Eligibility Requirements
5	698	B4-2.3-01, Eligibility Requirements for Units in PUD Projects (08/05/2026)
5	700	B4-2.3-02, Co-op Project Eligibility (05/06/2026)
5	707	B4-2.3-03, Legal Requirements for Co-op Projects (11/06/2024)
5	710	B4-2.3-04, Loan Eligibility for Co-op Share Loans (08/06/2025)
2	713	Subpart B5, Unique Eligibility and Underwriting Considerations
3	713	Chapter B5-1, High-Balance Mortgage Loans
4	713	B5-1-01, High-Balance Mortgage Loan Eligibility and Underwriting (07/02/2025)
4	714	B5-1-02, High-Balance Pricing, Mortgage Insurance, Special Feature Codes, and Delivery Limitations (02/01/2023)
3	716	Chapter B5-2, Manufactured Housing
4	716	B5-2-01, Manufactured Housing (11/06/2024)
4	717	B5-2-02, Manufactured Housing Loan Eligibility (12/10/2025)
4	719	B5-2-03, Manufactured Housing Underwriting Requirements (10/08/2025)
4	725	B5-2-04, Manufactured Housing Pricing, Mortgage Insurance, and Loan Delivery Requirements (12/10/2025)
4	726	B5-2-05, Manufactured Housing Legal Considerations (12/10/2025)
3	732	Chapter B5-3, Construction and Energy Financing
4	732	Section B5-3.1, Conversion of Construction-to-Permanent Financing
5	732	B5-3.1-01, Conversion of Construction-to-Permanent Financing: Overview (06/04/2025)
5	734	B5-3.1-02, Conversion of Construction-to-Permanent Financing: Single-Closing Transactions (05/06/2026)
5	740	B5-3.1-03, Conversion of Construction-to-Permanent Financing: Two-Closing Transactions (08/07/2019)
4	742	Section B5-3.2, HomeStyle Renovation Mortgage
5	742	B5-3.2-01, HomeStyle Renovation Mortgages (12/10/2025)
5	745	B5-3.2-02, HomeStyle Renovation Mortgages: Loan and Borrower Eligibility (12/10/2025)
5	749	B5-3.2-03, HomeStyle Renovation Mortgages: Collateral Considerations (12/10/2025)
5	751	B5-3.2-04, HomeStyle Renovation Mortgages: Costs and Escrow Accounts (12/10/2025)
5	754	B5-3.2-05, HomeStyle Renovation Mortgages: Completion Certification (08/05/2026)
5	755	B5-3.2-06, HomeStyle Renovation: Renovation Contract, Renovation Loan Agreement, and Lien Waiver (12/11/2024)
4	758	Section B5-3.3, HomeStyle Refresh Mortgages
5	758	B5-3.3-01, HomeStyle Refresh for Improvements on Existing Properties (08/05/2026)
4	763	Section B5-3.4, Property Assessed Clean Energy Loans
5	764	B5-3.4-01, Property Assessed Clean Energy Loans (10/08/2025)
3	765	Chapter B5-4, Property-Specific Products
4	766	Section B5-4.1, General Requirements of Texas Section 50(a)(6) Loans
5	766	B5-4.1-01, Texas Section 50(a)(6) Loans (12/19/2017)
5	768	B5-4.1-02, Texas Section 50(a)(6) Loan Eligibility (12/16/2020)
5	771	B5-4.1-03, Texas Section 50(a)(6) Loan Underwriting, Collateral, and Closing Considerations (03/04/2026)
5	773	B5-4.1-04, Texas Section 50(a)(6) Loan Delivery and Servicing Considerations (12/19/2017)
4	774	Section B5-4.2, Other Property-Specific Products
5	775	B5-4.2-01, Native American Conventional Lending Initiative (NACLI) (06/26/2012)
5	776	B5-4.2-02, Disaster-Related Limited Cash-Out Refinance Flexibilities (10/08/2025)
5	778	B5-4.2-03, Loans Secured by HomePath Properties (05/07/2025)
3	780	Chapter B5-5, Community Seconds, Loans with Resale Restrictions, and Shared Equity Transactions
4	780	Section B5-5.1, Community Seconds
5	781	B5-5.1-01, Community Seconds Loans (05/03/2023)
5	782	B5-5.1-02, Community Seconds Loan Eligibility (05/03/2023)
5	787	B5-5.1-03, Community Seconds: Shared Appreciation Transactions (11/01/2023)
4	791	Section B5-5.2, Loans with Resale Restrictions
5	791	B5-5.2-01, Loans With Resale Restrictions: General Information (05/03/2023)
5	792	B5-5.2-02, Loans with Resale Restrictions: Eligibility, Collateral and Delivery Requirements (08/05/2026)
4	794	Section B5-5.3, Shared Equity Transactions
5	795	B5-5.3-01, Shared Equity Overview (02/05/2025)
5	796	B5-5.3-02, Shared Equity Transactions: General Requirements (02/05/2025)
5	800	B5-5.3-03, Shared Equity Transactions: Eligibility, Underwriting and Collateral Requirements (02/05/2025)
5	805	B5-5.3-04, Massachusetts Resale Restriction Loan Eligibility Requirements (05/03/2023)
3	806	Chapter B5-6, HomeReady Mortgage
